iter	Passed	Remaining
438	1366	1745
439	1369	1742
440	1372	1739
441	1375	1736
442	1378	1733
443	1381	1730
444	1385	1727
445	1388	1725
446	1391	1721
447	1394	1718
448	1397	1715
449	1400	1712
450	1404	1709
451	1406	1705
452	1409	1702
453	1412	1699
454	1415	1695
455	1418	1692
456	1421	1688
457	1424	1685
458	1427	1682
459	1430	1679
460	1433	1675
461	1436	1672
462	1439	1669
463	1442	1665
464	1444	1662
465	1447	1658
466	1450	1655
467	1452	1651
468	1455	1648
469	1458	1644
470	1461	1641
471	1464	1638
472	1467	1635
473	1470	1631
474	1473	1628
475	1476	1625
476	1479	1621
477	1482	1618
478	1485	1615
479	1488	1612
480	1491	1608
481	1493	1605
482	1496	1602
483	1499	1599
484	1502	1595
485	1505	1592
486	1508	1588
487	1511	1585
488	1513	1581
489	1516	1578
490	1519	1575
491	1522	1571
492	1524	1568
493	1527	1564
494	1530	1561
495	1533	1558
496	1536	1554
497	1539	1551
498	1542	1548
499	1544	1544
500	1547	1541
501	1550	1537
502	1553	1534
503	1556	1531
504	1558	1527
505	1561	1524
506	1564	1521
507	1567	1517
508	1570	1514
509	1572	1511
510	1575	1507
511	1579	1505
512	1582	1501
513	1585	1498
514	1588	1495
515	1590	1492
516	1593	1488
517	1596	1485
518	1599	1482
519	1602	1479
520	1605	1476
521	1608	1472
522	1611	1469
523	1614	1466
524	1617	1463
525	1620	1460
526	1623	1457
527	1626	1454
528	1629	1451
529	1632	1447
530	1635	1444
531	1638	1441
532	1641	1438
533	1644	1434
534	1647	1431
535	1650	1428
536	1653	1425
537	1656	1422
538	1659	1419
539	1662	1416
540	1665	1413
541	1668	1409
542	1671	1406
543	1674	1403
544	1677	1400
545	1680	1397
546	1683	1394
547	1686	1390
548	1689	1387
549	1692	1384
550	1695	1381
551	1698	1378
552	1701	1375
553	1704	1372
554	1707	1368
555	1710	1365
556	1713	1362
557	1716	1359
558	1719	1356
559	1722	1353
560	1725	1350
561	1728	1346
562	1731	1343
563	1733	1340
564	1736	1337
565	1739	1333
566	1742	1330
567	1745	1327
568	1748	1324
569	1751	1321
570	1753	1317
571	1756	1314
572	1759	1311
573	1762	1308
574	1765	1304
575	1768	1301
576	1771	1298
577	1774	1295
578	1776	1292
579	1779	1288
580	1783	1286
581	1785	1282
582	1788	1279
583	1791	1276
584	1794	1273
585	1797	1270
586	1800	1266
587	1803	1263
588	1806	1260
589	1809	1257
590	1812	1254
591	1815	1250
592	1817	1247
593	1820	1244
594	1823	1241
595	1826	1238
596	1829	1235
597	1833	1232
598	1836	1229
599	1838	1225
600	1841	1222
601	1844	1219
602	1847	1216
603	1850	1213
604	1853	1210
605	1856	1207
606	1859	1203
607	1862	1200
608	1865	1197
609	1868	1194
610	1871	1191
611	1874	1188
612	1877	1185
613	1880	1182
614	1883	1179
615	1886	1176
616	1889	1172
617	1892	1169
618	1895	1166
619	1898	1163
620	1901	1160
621	1904	1157
622	1907	1154
623	1910	1151
624	1912	1147
625	1916	1144
626	1919	1141
627	1922	1138
628	1925	1135
629	1928	1132
630	1931	1129
631	1934	1126
632	1937	1123
633	1940	1120
634	1943	1117
635	1946	1113
636	1949	1110
637	1951	1107
638	1954	1104
639	1957	1101
640	1960	1098
641	1963	1094
642	1966	1091
643	1969	1088
644	1971	1085
645	1974	1082
646	1977	1079
647	1980	1075
648	1983	1072
649	1986	1069
650	1989	1066
651	1992	1063
652	1995	1060
653	1998	1057
654	2000	1053
655	2003	1050
656	2006	1047
657	2009	1044
658	2011	1041
659	2014	1037
660	2017	1034
661	2020	1031
662	2023	1028
663	2026	1025
664	2029	1022
665	2031	1018
666	2034	1015
667	2037	1012
668	2040	1009
669	2043	1006
670	2046	1003
671	2048	1000
672	2051	996
673	2054	993
674	2057	990
675	2060	987
676	2063	984
677	2065	981
678	2068	978
679	2071	974
680	2074	971
681	2077	968
682	2080	965
683	2083	962
684	2086	959
685	2089	956
686	2092	953
687	2095	950
688	2098	947
689	2101	944
690	2105	941
691	2108	938
692	2111	935
693	2114	932
694	2117	929
695	2120	926
696	2123	923
697	2126	919
698	2128	916
699	2131	913
700	2134	910
701	2137	907
702	2140	904
703	2143	901
704	2146	898
705	2149	895
706	2152	892
707	2155	888
708	2158	885
709	2161	882
710	2164	879
711	2167	876
712	2170	873
713	2173	870
714	2176	867
715	2179	864
716	2182	861
717	2185	858
718	2188	855
